Content ID,Reaction Type,Day,Time,Content Type,Category,Sentiment,Score
97522e57-d9ab-4bd6-97bf-c24d952602d2,disgust,Saturday,9.43,photo,studying,negative,0
97522e57-d9ab-4bd6-97bf-c24d952602d2,disgust,Wednesday,19.13,photo,studying,negative,0
97522e57-d9ab-4bd6-97bf-c24d952602d2,disgust,Friday,2.46,photo,studying,negative,0
9f737e0a-3cdd-4d29-9d24-753f4e3be810,disgust,Sunday,21.15,photo,healthy eating,negative,0
230c4e4d-70c3-461d-b42c-ec09396efb3f,disgust,Tuesday,5.4,photo,healthy eating,negative,0
3f8590c7-6ab2-4973-805a-90cdec355f05,disgust,Thursday,7.21,video,dogs,negative,0
3f8590c7-6ab2-4973-805a-90cdec355f05,disgust,Wednesday,23.35,video,dogs,negative,0
3f8590c7-6ab2-4973-805a-90cdec355f05,disgust,Thursday,20.1,video,dogs,negative,0
b18cb63f-4c8e-44ee-a47f-541e95191d11,disgust,Thursday,1.44,photo,public speaking,negative,0
b18cb63f-4c8e-44ee-a47f-541e95191d11,disgust,Saturday,4.14,photo,public speaking,negative,0
5118e9c5-1377-4cc5-a486-65b35b7b7b76,disgust,Saturday,8.49,GIF,science,negative,0
0be59876-d70c-486c-8e0b-a06bef7a2cd6,disgust,Wednesday,15.51,GIF,tennis,negative,0
0be59876-d70c-486c-8e0b-a06bef7a2cd6,disgust,Friday,16.22,GIF,tennis,negative,0
0be59876-d70c-486c-8e0b-a06bef7a2cd6,disgust,Tuesday,16.31,GIF,tennis,negative,0
0be59876-d70c-486c-8e0b-a06bef7a2cd6,disgust,Thursday,19.31,GIF,tennis,negative,0
81abd65a-3b76-4574-a0a7-db6bf7184ae2,disgust,Tuesday,13.12,video,food,negative,0
81abd65a-3b76-4574-a0a7-db6bf7184ae2,disgust,Tuesday,13.15,video,food,negative,0
81abd65a-3b76-4574-a0a7-db6bf7184ae2,disgust,Sunday,2.43,video,food,negative,0
81abd65a-3b76-4574-a0a7-db6bf7184ae2,disgust,Monday,1.45,video,food,negative,0
81abd65a-3b76-4574-a0a7-db6bf7184ae2,disgust,Sunday,12.49,video,food,negative,0
7ffd0a82-4a0a-4527-a4d6-e251b756bac7,disgust,Monday,3.28,GIF,fitness,negative,0
f332d362-dc48-46c2-a64b-641157c0987e,disgust,Monday,20.35,GIF,soccer,negative,0
a2e93b29-9259-4092-a4d7-62d5e823bb74,disgust,Wednesday,9.41,video,public speaking,negative,0
a2e93b29-9259-4092-a4d7-62d5e823bb74,disgust,Saturday,6.13,video,public speaking,negative,0
a2e93b29-9259-4092-a4d7-62d5e823bb74,disgust,Tuesday,17.31,video,public speaking,negative,0
9b3a6d30-48e8-476c-82be-9031524bd04d,disgust,Saturday,3.14,video,food,negative,0
9b3a6d30-48e8-476c-82be-9031524bd04d,disgust,Friday,11.23,video,food,negative,0
850fe90d-47d6-4eb7-b9c8-810afcb99ce9,disgust,Saturday,9.41,video,tennis,negative,0
850fe90d-47d6-4eb7-b9c8-810afcb99ce9,disgust,Monday,12.53,video,tennis,negative,0
850fe90d-47d6-4eb7-b9c8-810afcb99ce9,disgust,Tuesday,10.2,video,tennis,negative,0
850fe90d-47d6-4eb7-b9c8-810afcb99ce9,disgust,Thursday,15.08,video,tennis,negative,0
baa2db00-81ba-4c34-b17d-dd950bfa133b,disgust,Sunday,8.14,GIF,soccer,negative,0
baa2db00-81ba-4c34-b17d-dd950bfa133b,disgust,Wednesday,3.04,GIF,soccer,negative,0
baa2db00-81ba-4c34-b17d-dd950bfa133b,disgust,Tuesday,21.3,GIF,soccer,negative,0
f98dde71-ce1d-4f6c-bb05-ae05779d2207,disgust,Saturday,23.02,GIF,soccer,negative,0
f98dde71-ce1d-4f6c-bb05-ae05779d2207,disgust,Tuesday,23.01,GIF,soccer,negative,0
f98dde71-ce1d-4f6c-bb05-ae05779d2207,disgust,Thursday,3.4,GIF,soccer,negative,0
388bd9db-9d10-4f47-87c4-6db46e83bc95,disgust,Wednesday,0.16,video,education,negative,0
78d0075f-895c-4a15-a35c-a921e2bb2cea,disgust,Monday,0.39,photo,studying,negative,0
78d0075f-895c-4a15-a35c-a921e2bb2cea,disgust,Wednesday,22.07,photo,studying,negative,0
78d0075f-895c-4a15-a35c-a921e2bb2cea,disgust,Monday,19.29,photo,studying,negative,0
bda0b065-7f8b-4d52-b7e9-fcc375cdab08,disgust,Friday,20.55,photo,travel,negative,0
bda0b065-7f8b-4d52-b7e9-fcc375cdab08,disgust,Sunday,11.28,photo,travel,negative,0
809b41e3-7a6f-4d80-84bf-f8d7b0e2d0e1,disgust,Tuesday,3.04,audio,dogs,negative,0
34a3747a-0b77-42f6-ae19-87c38b94b674,disgust,Wednesday,7,GIF,science,negative,0
34a3747a-0b77-42f6-ae19-87c38b94b674,disgust,Wednesday,15.37,GIF,science,negative,0
2920dccb-e06f-49fc-8049-b6d4164dfe84,disgust,Tuesday,9.23,GIF,veganism,negative,0
2920dccb-e06f-49fc-8049-b6d4164dfe84,disgust,Sunday,14.1,GIF,veganism,negative,0
